0,1,2,3,4
,,CRIRES User Manual,,
,,,,Published on:  2025-05-22
,,,Page:,91 of 109
,1242.588 - 1251.044,1251.638 - 1259.696,1260.256 - 1267.894,45
,1270.837 - 1279.443,1280.047 - 1288.288,1288.857 - 1296.658,44
,1300.359 - 1309.164,1309.780 - 1318.214,1318.757 - 1326.768,43
J1226,1116.376 - 1124.028,1124.586 - 1131.879,1132.404 - 1139.333,50
,1139.175 - 1146.984,1147.551 - 1154.994,1155.521 - 1162.592,49
1226.466,,,,
,1162.922 - 1170.895,1171.466 - 1179.065,1179.598 - 1186.818,48
,1187.667 - 1195.821,1196.391 - 1204.153,1204.700 - 1212.078,47
,1213.484 - 1221.805,1222.389 - 1230.320,1230.864 - 1238.399,46
,1240.463 - 1248.942,1249.534 - 1257.642,1258.205 - 1265.874,45
,1268.607 - 1277.307,1277.901 - 1286.194,1286.754 - 1294.634,44
,1298.103 - 1306.964,1307.579 - 1316.065,1316.608 - 1324.672,43
,1328.957 - 1338.011*,1338.632 - 1347.322*,1347.898 - 1356.153*,42*
H1582,1445.821 - 1455.285,1455.997 - 1464.977,1465.616 - 1474.154,39
,1483.892 - 1493.603,1494.303 - 1503.554,1504.199 - 1512.957,38
1582.339,,,,
,1524.015 - 1533.983,1534.701 - 1544.194,1544.850 - 1553.844,37
,1566.354 - 1576.591,1577.323 - 1587.075,1587.758 - 1596.996,36
,1611.095 - 1621.618,1622.371 - 1632.402,1633.094 - 1642.589,35
,1658.462 - 1669.283,1670.056 - 1680.367,1681.086 - 1690.855,34
,1708.669 - 1719.799,1720.597 - 1731.211,1731.958 - 1741.961,33
,1761.982 - 1773.455,1774.278 - 1785.215,1785.982 - 1796.351,32
H1575,1438.650 - 1448.286*,1448.984 - 1458.174*,1458.811 - 1467.526*,39*
,1476.533 - 1486.418,1487.132 - 1496.560,1497.215 - 1506.156,38
1574.798,,,,
,1516.458 - 1526.606,1527.336 - 1537.013,1537.687 - 1546.865,37
,1558.590 - 1569.013,1569.759 - 1579.700,1580.393 - 1589.821,36
,1603.114 - 1613.827,1614.592 - 1624.811,1625.523 - 1635.215,35
,1650.240 - 1661.261,1662.046 - 1672.557,1673.292 - 1683.262,34
,1700.203 - 1711.547,1712.355 - 1723.176,1723.934 - 1734.198,33
,1753.257 - 1764.944,1765.777 - 1776.926,1777.710 - 1788.285,32
H1567,1431.243 - 1441.052*,1441.763 - 1451.128*,1451.778 - 1460.671*,39*
,1468.933 - 1478.995,1479.723 - 1489.331,1489.999 - 1499.122,38
1567.099,,,,
,1508.653 - 1518.982,1519.727 - 1529.590,1530.277 - 1539.643,37
,1550.568 - 1561.178,1561.942 - 1572.073,1572.779 - 1582.399,36
,1594.864 - 1605.770,1606.553 - 1616.967,1617.693 - 1627.582,35
,1641.751 - 1652.969,1653.772 - 1664.484,1665.232 - 1675.405,34
,1691.460 - 1703.010,1703.833 - 1714.861,1715.631 - 1726.104,33
,1744.249 - 1756.148,1756.992 - 1768.353,1769.149 - 1779.939,32
H1559,1461.252 - 1471.490,1472.229 - 1482.015,1482.697 - 1492.000,38
,1500.764 - 1511.273,1512.031 - 1522.076,1522.777 - 1532.327,37
1559.245,,,,
,1542.463 - 1553.258,1554.034 - 1564.353,1565.073 - 1574.883,36
,1586.530 - 1597.627,1598.423 - 1609.030,1609.771 - 1619.855,35
,1633.173 - 1644.588,1645.406 - 1656.317,1657.080 - 1667.454,34
,1682.625 - 1694.376,1695.216 - 1706.449,1707.237 - 1717.917,33
,1735.145 - 1747.251,1748.115 - 1759.689,1760.499 - 1771.503,32
K2217,1968.506 - 1980.625,1981.503 - 1993.009,1993.799 - 2004.659,29
,2038.848 - 2051.392,2052.295 - 2064.205,2065.026 - 2076.268,28
2216.704,,,,
,2114.377 - 2127.377,2128.310 - 2140.654,2141.507 - 2153.159,27
,2195.687 - 2209.178,2210.143 - 2222.954,2223.843 - 2235.935,26
,2283.474 - 2297.492,2298.491 - 2311.803,2312.734 - 2325.300,25
,2378.532 - 2393.120,2394.150 - 2408.003,2408.983 - 2422.059,24
K2192,1945.903 - 1958.593,1959.513 - 1971.602,1972.427 - 1983.862,29
,2015.429 - 2028.567,2029.515 - 2042.023,2042.891 - 2054.735,28
2192.449,,,,
,2090.110 - 2103.732,2104.689 - 2117.655,2118.558 - 2130.829,27
,2170.514 - 2184.625,2185.627 - 2199.084,2200.025 - 2212.757,26
,2257.283 - 2271.974,2273.005 - 2286.985,2287.961 - 2301.199,25
,2351.270 - 2366.529,2367.643 - 2382.180,2383.225 - 2396.977,24
,2453.362 - 2469.300,2470.049 - 2485.351,2486.629 - 2501.029,23*
K2166,1921.318 - 1934.583*,1935.543 - 1948.213*,1949.097 - 1961.128*,29*
,1989.978 - 2003.709,2004.701 - 2017.816,2018.708 - 2031.165,28
