0,1,2,3,4
,,CRIRES User Manual,,
,,,,Published on:  2025-05-22
,,,Page:,93 of 109
M4519,3640.138 - 3660.513,3661.549 - 3680.817,3681.749 - 3699.851,16
,3882.902 - 3904.627,3905.733 - 3926.278,3927.271 - 3946.576,15
4518.527,,,,
,4160.322 - 4183.588,4184.772 - 4206.776,4207.840 - 4228.516,14
,4480.379 - 4505.422,4506.696 - 4530.381,4531.526 - 4553.782,13
,4853.707 - 4880.817,4882.197 - 4907.838,4909.078 - 4933.175,12
,5294.786 - 5324.334*,5325.838 - 5353.789*,5355.140 - 5381.405*,11*
M4504,3627.740 - 3648.470,3649.520 - 3669.140,3670.090 - 3688.550,16
,3869.677 - 3891.365,3892.919 - 3913.403,3914.820 - 3934.041,15
4504.089,,,,
,4146.087 - 4169.288,4170.912 - 4192.932,4205.061 - 4205.061,14
,4465.003 - 4490.003,4491.783 - 4515.393,4517.037 - 4539.197,13
,4836.973 - 4864.033,4865.958 - 4891.523,4893.300 - 4917.292,12
,5276.402 - 5305.960,5308.360 - 5336.820*,5339.000 - 5364.215*,11*
M4461,3591.380 - 3613.090,3614.231 - 3634.468,3635.859 - 3654.913,16
,3830.813 - 3853.577,3855.211 - 3876.788,3878.284 - 3898.608,15
4461.195,,,,
,4104.462 - 4128.839,4130.590 - 4153.701,4155.372 - 4177.575,14
,4420.390 - 4447.070,4448.280 - 4473.155,4474.881 - 4498.316,13
,4788.411 - 4816.811,4818.835 - 4845.776,4847.645 - 4873.005,12
,5223.469 - 5254.419,5256.606 - 5285.949,5287.727 - 5314.153*,11*
M4416,3552.885 - 3575.236,3576.847 - 3598.102,3599.566 - 3619.651,16
,3790.060 - 3814.240,3815.343 - 3838.002,3839.576 - 3860.993,15
4415.885,,,,
,4060.860 - 4086.760,4087.883 - 4112.162,4113.838 - 4136.771,14
,4356.545 - 4397.782,4402.580 - 4429.140,4430.430 - 4455.580,13
,4737.189 - 4766.913,4769.063 - 4797.305,4799.268 - 4826.002,12
,5168.280 - 5201.180,5202.285 - 5233.142,5235.259 - 5264.410,11
M4368,3512.841 - 3536.170,3537.856 - 3560.104,3561.643 - 3582.734,16
,3747.081 - 3771.959,3773.752 - 3797.470,3799.128 - 3821.617,15
4368.182,,,,
,4014.774 - 4041.413,4043.326 - 4068.731,4070.499 - 4094.586,14
,4323.720 - 4352.790,4354.270 - 4382.030,4383.380 - 4409.760,13
,4683.789 - 4714.816,4717.028 - 4746.676,4748.730 - 4776.814,12
,5109.398 - 5143.373,5145.626 - 5177.891,5180.152 - 5210.712,11
M4318,3470.411 - 3494.721,3496.483 - 3519.755*,3521.322 - 3543.417*,16*
,3701.841 - 3727.757,3729.613 - 3754.403,3756.120 - 3779.684,15
4318.114,,,,
,3966.266 - 3994.030,3995.584 - 4022.534,4024.425 - 4049.663,14
,4271.920 - 4302.150,4303.700 - 4332.650,4334.060 - 4361.640,13
,4627.247 - 4659.592,4661.904 - 4692.846,4694.989 - 4724.347,12
,5047.643 - 5082.990,5085.270 - 5119.113,5121.574 - 5154.105,11
M4266,3426.620 - 3452.170*,3453.480 - 3477.990*,3479.190 - 3502.590*,16*
,3655.170 - 3682.410,3683.810 - 3709.950,3711.220 - 3736.180,15
4265.706,,,,
,3916.350 - 3945.520,3947.020 - 3975.010,3976.380 - 4003.110,14
,4217.680 - 4249.080,4250.690 - 4280.830,4282.290 - 4311.070,13
,4569.180 - 4603.170,4604.910 - 4637.540,4639.130 - 4670.280,12
,4984.480 - 5021.540,5023.440 - 5059.000,5060.730 - 5094.690,11
M4211,3606.250 - 3634.480,3635.930 - 3663.080,3664.400 - 3690.380,15
,3863.940 - 3894.170,3895.720 - 3924.800,3926.220 - 3954.050,14
4210.988,,,,
,4161.240 - 4193.790,4195.460 - 4226.760,4228.280 - 4258.240,13
,4508.050 - 4543.280,4545.090 - 4578.980,4580.630 - 4613.060,12
,4917.810 - 4956.220,4958.190 - 4995.130,4996.930 - 5032.280,11
M4187,3584.036 - 3612.418,3614.502 - 3641.789,3643.685 - 3669.790,15
,3840.080 - 3870.509,3872.699 - 3901.924,3903.970 - 3931.931,14
4186.838,,,,
,4077.305 - 4091.896,4170.740 - 4202.540,4204.090 - 4234.560,13
,4480.033 - 4515.518,4518.067 - 4552.122,4554.511 - 4587.093,12
,4887.287 - 4925.858,4928.522 - 4965.392,4968.412 - 5003.924,11
