0,1,2,3,4
,,CRIRES User Manual,,
,,,,Published on:  2025-05-22
,,,Page:,92 of 109
2166.016,2063.711 - 2077.942,2078.967 - 2092.559,2093.479 - 2106.392,27
,2143.087 - 2157.855,2158.914 - 2173.020,2173.983 - 2187.386,26
,2228.786 - 2244.133,2245.229 - 2259.888,2260.904 - 2274.835,25
,2321.596 - 2337.568,2338.704 - 2353.961,2355.035 - 2369.534,24
,2422.415 - 2439.061,2440.243 - 2456.145,2457.275 - 2472.388,23
K2148,1972.256 - 1986.385,1987.410 - 2000.926,2001.873 - 2014.734,28
,2045.340 - 2059.983,2061.032 - 2075.043,2076.014 - 2089.352,27
2147.646,,,,
,2124.020 - 2139.214,2140.304 - 2154.844,2155.863 - 2169.707,26
,2208.960 - 2224.749,2225.886 - 2240.997,2242.063 - 2256.446,25
,2300.945 - 2317.377,2318.557 - 2334.281,2335.367 - 2350.327,24
,2400.875 - 2418.003,2419.210 - 2435.596,2436.646 - 2452.223,23
L3426,2885.940 - 2902.683,2903.871 - 2919.712,2920.799 - 2935.691,20
,3037.854 - 3055.461,3056.731 - 3073.365,3074.541 - 3090.211,19
3425.891,,,,
,3206.635 - 3225.210,3226.534 - 3244.120,3245.341 - 3261.875,18
,3395.240 - 3414.897,3416.306 - 3434.906,3436.198 - 3453.699,17
,3607.370 - 3628.243,3629.729 - 3649.490,3650.871 - 3669.452,16
,3847.721 - 3869.972,3871.548 - 3892.612,3894.083 - 3913.894,15
,4122.322 - 4146.129,4147.812 - 4170.393,4171.934 - 4193.138,14
L3412,2873.364 - 2890.436,2891.668 - 2907.846,2908.970 - 2924.212,20
,3024.620 - 3042.587,3043.876 - 3060.906,3062.085 - 3078.125,19
3411.608,,,,
,3192.666 - 3211.623,3212.978 - 3230.946,3232.194 - 3249.120,18
,3380.448 - 3400.511,3401.945 - 3420.966,3422.283 - 3440.195,17
,3591.664 - 3612.964,3614.477 - 3634.674,3636.083 - 3655.103,16
,3830.969 - 3853.678,3855.297 - 3876.815,3878.317 - 3898.595,15
,4104.370 - 4128.693,4130.388 - 4153.433,4155.116 - 4177.202,14
L3377,2842.535 - 2860.486,2861.773 - 2878.771,2879.948 - 2896.011,20
,2992.253 - 3011.062,3012.416 - 3030.300,3031.542 - 3048.446,19
3376.965,,,,
,3158.504 - 3178.352,3179.771 - 3198.641,3199.953 - 3217.788,18
,3344.283 - 3365.286,3366.786 - 3386.758,3388.148 - 3407.025,17
,3553.239 - 3575.542,3577.130 - 3598.335,3599.810 - 3619.856,16
,3789.987 - 3813.759,3815.457 - 3838.059,3839.642 - 3861.016,15
,4060.512 - 4085.937,4087.728 - 4111.934,4113.628 - 4136.495,14
L3340,2958.407 - 2978.046,2979.463 - 2998.191,2999.490 - 3017.240,19
,3122.778 - 3143.499,3144.993 - 3164.757,3166.122 - 3184.854,18
3340.492,,,,
,3306.456 - 3328.382,3329.967 - 3350.842,3352.330 - 3372.157,17
,3513.062 - 3536.345,3538.014 - 3560.226,3561.772 - 3582.824,16
,3747.144 - 3771.966,3773.759 - 3797.451,3799.056 - 3821.502,15
,4014.595 - 4041.163,4043.047 - 4068.385,4070.157 - 4094.191,14
L3302,2922.857 - 2943.317,2944.820 - 2964.364,2965.707 - 2984.312,19
,3085.258 - 3106.844,3108.402 - 3129.038,3130.458 - 3150.092,18
3302.210,,,,
,3266.735 - 3289.569,3291.221 - 3313.059,3314.588 - 3335.359,17
,3470.871 - 3495.129,3496.877 - 3520.094,3521.679 - 3543.731,16
,3702.194 - 3728.020,3729.857 - 3754.581,3756.328 - 3779.836,15
,3966.417 - 3994.106,3996.046 - 4022.503,4024.366 - 4049.534,14
L3262,2885.632 - 2906.906,2908.446 - 2928.829,2930.266 - 2949.685,19
,3045.964 - 3068.406,3070.035 - 3091.545,3093.044 - 3113.551,18
3262.140,,,,
,3225.143 - 3248.895,3250.607 - 3273.370,3274.954 - 3296.657,17
,3426.699 - 3451.899,3453.711 - 3477.883,3479.581 - 3502.630,16
,3655.022 - 3681.910,3683.850 - 3709.611,3711.404 - 3735.980,15
,3915.904 - 3944.689,3946.699 - 3974.300,3976.391 - 4003.132,14
L3244,2869.299 - 2890.916,2892.491 - 2913.209,2914.655 - 2934.441,19
,3028.728 - 3051.534,3053.182 - 3075.059,3076.589 - 3097.463,18
3244.424,,,,
,3206.892 - 3231.026,3232.768 - 3255.920,3257.540 - 3279.640,17
,3407.284 - 3432.913,3434.756 - 3459.347,3461.072 - 3484.518,16
,3634.348 - 3661.656,3663.614 - 3689.825,3691.662 - 3716.677,15
,3893.747 - 3923.016,3925.093 - 3953.151,3955.117 - 3981.898,14
